"Search Results"

"Summary"
"Saved on";"20.06.2018 11.24.59"
"Searched for";"stain"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"204"            
"Number of instance(s) found";"1163"           

"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"67";"Sd, md, red stain, med, well rnd good fluor good cut wh-ye1 stream "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"69";"med, rnd, red stain Sh, a/a Sh, brn, a/a Clyst, lt gry, "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"70";"subang, occ red stain Sh, a/a Lst, a/a Sh/Sltst, a/a "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"81";"no vi oil stain,dul flu w/brn lam paper Sh: a/a but "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"108";"GRAIN SIZE : STAIN CUT FLUOR DESCRIPTION MISC. J3 fi 4 4 mu 11 "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"109";"GRAIN SIZE ! STAIN CUT fLUOR DESCRIPTION MISC. mu ·~ vL f '? "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"110";"GRAIN SIZE ~ STAIN CUT FLUOR DESCRIPTION MISC. mu SI V~ t ']' ~ "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"111";"GRAIN SIZE ~~~ STAIN CUT Fl!JOR_ DESCRIPTION MISC. m~ so v1f "

"File name";"Title";"Page";"Search Instance"
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"28";"red or blk stain, poss lithic frag, loc pyr cmt Lithic frag, gravel-med "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"81";"GRAIN SIZE ,} STAIN CUT FLUOR DESCRIPTION t---..,..,...,..~~m~·.~..:-·;..J,•-"
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"81";"le white ring stain faint pale bluewhite fluor. No cutwhite residua fluoresence jt.r "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"83";"GRAIN SIZE ~ STAIN CUT HUOB DESCRIPTION MISC. __.,. ""L .. ! L "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"83";".. . . stain. 2416-t• .•• .•• •.• •.• •.• .•,. 1:·"
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"84";"GRAIN SIZE ~ STAIN CUT FLUOR DESCRIPTION MISC. mj' •l_ -v} L "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"85";"DEPTH GRAIN SIZE STAIN CUT FLUOR DESCRIPTION MISC. m~ s,i •/ t '!' "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"86";"GRAIN SIZE ; STAIN CUT FLUOR DESCRIPTION MISC. m~ si vf ! ':' "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"87";"DEPTH GRAIN SIZE STAIN CUT FLUOR DESCRIPTION MISC. m s,i v,t ! "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"90";"DEPTH GRAIN SIZE STAIN CUT FLUOR DESCRIPTION MISC. m si •.' ~ IIC~S "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"91";"GRAIN SIZE 1,.,~ STAIN CUT FLUOR DESCRIPTION MISC. m~ si •t t ':' "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"93";"qtz, vf-m, Stain: subang, f-pr srtd, lt yel fri, kaol cmt, pyr "
"15_9-13__WELL__15-09-13_PB-706-0087.PDF";"";"96";"f_ G .) stain: - .___ ~ - ~ . . ) ,...__ - "
