"Search Results"

"Summary"
"Saved on";"11.06.2018 08.18.55"
"Searched for";"fluor"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"325"            
"Number of instance(s) found";"10362"          

"File name";"Title";"Page";"Search Instance"
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"138";"sl micromic. No fluor, v slow str yel cut 3 2749 20 CLYST: a/"

"File name";"Title";"Page";"Search Instance"
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"145";"YEL • ORNG FLUOR 50 CLYST: RO BRN • OSKY RD BRN, PA GN "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"145";"CALC WH CUT FLUOR 20 LST: WH - OFF WH AMOR (MICR), SFT "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"145";"- SUBRND, NO FLUOR & CUT REACTION LSE· FRI, CALC CMT, GO VIS "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"146";"SRT, SUBRND, NO FLUOR & CUT SL SIL CMT, FRI - MOD HO, SL "

"File name";"Title";"Page";"Search Instance"
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"158";"MUD. SS: MIN FLUOR, NO CUT BRN CLYST: NO FLUOR, BUT SLOW STRMG/CRUSH "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"158";"BRN CLYST: NO FLUOR, BUT SLOW STRMG/CRUSH CUT W/ DULL YEL FLUOR CLYST: "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"158";"W/ DULL YEL FLUOR CLYST: MED BRN, GRY BRN, BLKY · SUBFISS, EA, V "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"162";"DULL YEL ORNG FLUOR TR LST, SST, PYR "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"167";"A/A NO FLUOR. SLOW CLDY PL YEL WH CUT 39 2850 23 SST: "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"167";"RD STN, NO FLUOR. SLOW CLDY PL VF • MED, MOD SRT, SUBANG • "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"167";"VIS POR NO FLUOR. SLOW STRMG CUT, DULL YEL CUT FLUOR NO FLUOR. V "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"167";"DULL YEL CUT FLUOR NO FLUOR. V SLOW CUT, DULL YEL CUT FLUOR "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"167";"CUT FLUOR NO FLUOR. V SLOW CUT, DULL YEL CUT FLUOR "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"167";"DULL YEL CUT FLUOR "
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"168";"SL CALC NO FLUOR. SLOW STRMG CMT, OCC BLIC GRNS, GD VIS POR CUT, "
